Артикул,Имя атрибута 1,Значение(-я) аттрибута(-ов) 1,Видимость атрибута 1,Глобальный атрибут 1,Имя атрибута 2,Значение(-я) аттрибута(-ов) 2,Видимость атрибута 2,Глобальный атрибут 2,Имя атрибута 3,Значение(-я) аттрибута(-ов) 3,Видимость атрибута 3,Глобальный атрибут 3,Имя атрибута 4,Значение(-я) аттрибута(-ов) 4,Видимость атрибута 4,Глобальный атрибут 4,Имя атрибута 5,Значение(-я) аттрибута(-ов) 5,Видимость атрибута 5,Глобальный атрибут 5,Pillowcases,70*70,1,1
18359,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
18373,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
38178,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
18342,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
18618,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
38161,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
26392,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
18885,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
38185,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
38574,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
32270,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
18366,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
28617,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
916,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
17420,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
538192,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
17437,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
26408,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
420,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
31563,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
421,Size,170*210,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
38147,Size,170*210,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
422,Size,200*220,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
18397,Size,170*210,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
18380,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
14870,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
1163,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
37299,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
37831,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
37942,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
33604,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi ,1,1,,,,,,,,
34274,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi ,1,1,,,,,,,,
37848,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
34168,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi ,1,1,,,,,,,,
37959,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
37973,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
37879,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
7930,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
32610,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi ,1,1,,,,,,,,
37966,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
37862,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
415,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
18625,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
18410,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
30272,Size,170*210,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
26668,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
31587,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
416,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
38222,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
417,Size,170*210,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
418,Size,200*220,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
34151,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi ,1,1,,,,,,,,
33512,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi ,1,1,,,,,,,,
31880,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi ,1,1,,,,,,,,
37770,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
38239,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
37312,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
37787,Size,170*210,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
