Артикул,Имя атрибута 1,Значение(-я) аттрибута(-ов) 1,Видимость атрибута 1,Глобальный атрибут 1,Имя атрибута 2,Значение(-я) аттрибута(-ов) 2,Видимость атрибута 2,Глобальный атрибут 2,Имя атрибута 3,Значение(-я) аттрибута(-ов) 3,Видимость атрибута 3,Глобальный атрибут 3,Имя атрибута 4,Значение(-я) аттрибута(-ов) 4,Видимость атрибута 4,Глобальный атрибут 4,Имя атрибута 5,Значение(-я) аттрибута(-ов) 5,Видимость атрибута 5,Глобальный атрибут 5,Pillowcases,70*70,1,1
"34342_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34540_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
2007-01_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
2007-01_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
2007-04_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
2007-04_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
2007-02_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34359_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34557_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
11543_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
9863-01_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
9863-01_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
9863-02_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
9863-02_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
9847-01_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
5117_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34458_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34663_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34366_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34564_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
9577_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
9577_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
5479_1.5LH,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
5479_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
4870-01_2.0LH,Size,Евро,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
"34731_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34670_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34878_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
12344-02_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
12344-01_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34885_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34694_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34687_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"38628_1,5",Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
"38611_2,0",Size,Евро,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
"34892_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34847_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"35004_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
59273_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
59273_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"38604_2,0",Size,Евро,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
11582_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
"34755_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
7613-01_2.0LH,Size,Евро,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
5721_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
6830_1.5LH,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
10944-02_1.5LH,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
10944-02_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
7885_1.5LH,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34908_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34793_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34915_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34922_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34762_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
8812_1.5LH,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34939_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34786_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34861_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
6042_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
6042_2.0LH,Size,Евро,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
"34779_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34854_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
12450_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34946_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34700_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
10936_1.5LH,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
10936_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34809_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34953_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
12386_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
6862-03_2.0LH,Size,Евро,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
6862-01_2.0LH,Size,Евро,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
"34748_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34717_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34816_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34960_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
12100_2.0LH,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34977_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34823_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34984_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34724_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
9782_1.5LH,Size,Полуторный,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
"34830_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
"34991_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
5531_2.0LH,Size,Евро,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
7654-01_2.0LH,Size,Евро,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
10957-02_1.5LH,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
5479_сім.LH,Size,Семейный ,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
12344-01_сім.LH,Size,Семейный ,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
38598_сім.,Size,Семейный ,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
35066_сім.,Size,Семейный ,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
59273_сім.LH,Size,Семейный ,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
38581_сім.,Size,Семейный ,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
35028_сім.,Size,Семейный ,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35011_сім,Size,Семейный ,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35035_сім.,Size,Семейный ,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35042_сім.,Size,Семейный ,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35059_сім.,Size,Семейный ,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35073,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35080,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35097,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35103,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35110,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35127,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35134,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35141,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35158,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35165,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35172,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35189,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35196,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35202,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35219,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35226,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
35233,Size,Детский,1,1,Country,Турция,1,1,,,,,Brand,LIGHTHOUSE,1,1,,,,,,,,
28170,Size,220*240,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28200,Size,155*220,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28217,Size,220*240,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28248,Size,220*240,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28255,Size,220*240,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28262,Size,220*240,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28286,Size,220*240,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28309,Size,220*240,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28323,Size,220*240,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28330,Size,220*240,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28361,Size,220*240,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28378,Size,220*240,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28408,Size,155*220,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28415,Size,155*220,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28439,Size,155*220,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28446,Size,155*220,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28453,Size,155*220,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28477,Size,155*220,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
28514,Size,155*220,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"27937_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"27951_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30302_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30272_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30289_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30326_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30296_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30821_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"20761_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"20808_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"109209_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30647_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30654_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30814_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30456_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30432_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30449_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30425_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30586_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"20839_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30623_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30708_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30715_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"31675_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"31651_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"31668_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"31644_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30739_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30746_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30500_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30517_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30692_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30685_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"10533_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30463_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30470_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30777_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30784_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"30838_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"20198_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"22161_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"00161_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"109674_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
16894,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
16900,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"11943_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"01925_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"109759_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"00191_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"980174_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"112421_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"01501_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"110137_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"110397_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"13725_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"09551_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"09377_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"109384_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
18782,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
18775,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
2911,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"23113_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"23106_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
18973_сім.,Size,семейный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"116818_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"116818_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"116740_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"116825_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
24073_сім.,Size,семейный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"09803_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"09810_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
106505,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"04132_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"04131_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
18119,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
18126,Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
18898_сім.,Size,семейный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"109445_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
117815,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
106390,Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"22468_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY,1,1,,,,,,,,
"116757_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"116832_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"116764_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"116849_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"117914_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"116870_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"117921_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"116887_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"09636_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"09629_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"10131_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
27777_сім.,Size,семейный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"21997_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY,1,1,,,,,,,,
27760_сім.,Size,семейный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"21980_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY,1,1,,,,,,,,
"09834_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"12812_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"112344_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
"22031_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY,1,1,,,,,,,,
"22048_2,0",Size,евро,1,1,Country,Турция,1,1,,,,,Brand,HOBBY,1,1,,,,,,,,
"23694_1,5",Size,полуторный,1,1,Country,Турция,1,1,,,,,Brand,HOBBY ,1,1,,,,,,,,
